id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
48LAwhnuZb4un5EdUluL8K,One Slowdance,['Rufio'],254987,2001,False,,0.478,0.757,0.00474,0.738,140.984
44iWy1HwMT9aVxiDDhIQ8x,Open Your Heart,['Westlife'],219440,1999,False,,0.655,0.777,0.29100000000000004,0.599,103.04299999999999
13S85ASCmpJMdwM9rgaRUa,Obvious,['Westlife'],210160,2003,False,,0.529,0.667,0.0385,0.402,82.01100000000002
624YMffLA90qmE234pb9hF,On My Shoulder,['Westlife'],237200,2003,False,,0.546,0.68,0.703,0.529,137.088
4GlMvQPiSNZqD0mpBmBLjs,"Oh, What a Disappointment",['Lambchop'],266573,1994,False,,0.358,0.544,0.0038299999999999996,0.519,165.84599999999998
7hGRwsILg5SRzQRv8GQMhM,Overjoyed,['Jars Of Clay'],220107,2003,False,,0.675,0.593,0.106,0.287,102.04799999999999
0uatCB1ujnNb7u9Ok8vfD8,Something Beautiful,['Jars Of Clay'],237547,2003,False,,0.596,0.821,0.0281,0.612,87.094
5QFakkLrygT1zAjBZmlo5o,The Valley Song (Sing of Your Mercy),['Jars Of Clay'],251853,2003,False,,0.48700000000000004,0.8029999999999999,0.0621,0.5589999999999999,156.028
168GsclG24SlAwd2HtwSYY,Liquid,['Jars Of Clay'],217987,2003,False,,0.629,0.4920000000000001,0.129,0.259,103.90299999999999
0W5oV2ckRH0SVn3m23hbBB,The Eleventh Hour,['Jars Of Clay'],249480,2003,False,,0.6459999999999999,0.799,0.0329,0.581,140.97
56GDjcrxtMyYwxPF14US8z,Dig,['Jars Of Clay'],194680,2003,False,,0.5760000000000001,0.408,0.541,0.326,116.12200000000001
7IE1dFb69qWIKKdjUsq3c8,Redemption,['Jars Of Clay'],190720,2003,False,,0.597,0.47600000000000003,0.516,0.354,112.191
6JqRmXeWVfHOBAL8SxoxqS,Love Song For a Savior,['Jars Of Clay'],289360,2003,False,,0.522,0.8190000000000001,0.0158,0.385,94.09
332lfGMRgc7mU3HNwoF9Sc,Frail,['Jars Of Clay'],255707,2003,False,,0.629,0.597,0.29100000000000004,0.491,143.947
481MoaPHR6PQuzx7gQ5GHZ,Needful Hands,['Jars Of Clay'],167520,2003,False,,0.40700000000000003,0.34299999999999997,0.608,0.326,76.691
43NCKPbrrnJ1cpswamKQvM,Disappear - Live From The Eleventh Hour Tour,['Jars Of Clay'],281347,2003,False,,0.4370000000000001,0.96,0.0116,0.344,101.999
0XpjWI3DRxv9RFCqP88vGq,Like a Child - Live From The Eleventh Hour Tour,['Jars Of Clay'],283067,2003,False,,0.526,0.976,0.00331,0.499,114.994
6D1doOESKeYH2T5L5E4KiG,Crazy Times - Live From The Eleventh Hour Tour,['Jars Of Clay'],236000,2003,False,,0.40399999999999997,0.9209999999999999,0.0119,0.284,96.988
2wci5gRsdyXURECIsP6fc7,I Need You - Live From The Eleventh Hour Tour,['Jars Of Clay'],215600,2003,False,,0.596,0.93,0.023,0.408,120.016
09DLuK8ore99ice3lCSL6D,The Eleventh Hour - Live From The Eleventh Hour Tour,['Jars Of Clay'],258240,2003,False,,0.489,0.88,0.008879999999999999,0.45299999999999996,135.983
0l65vI8rlKnKaj53r3EWzn,This Road - Live From The Eleventh Hour Tour,['Jars Of Clay'],269667,2003,False,,0.244,0.441,0.862,0.10300000000000001,129.871
5K0zCncDK9RUFbESnsKtit,Fly - Live From The Eleventh Hour Tour,['Jars Of Clay'],226920,2003,False,,0.467,0.95,0.00474,0.462,104.04700000000001
5H03W3UWCzkRDBuaWKvonV,I'm Alright - Live From The Eleventh Hour Tour,['Jars Of Clay'],314653,2003,False,,0.618,0.941,0.102,0.261,109.03299999999999
61z5V497QoHlOM8gKu5tn5,Revolution - Live From The Eleventh Hour Tour,['Jars Of Clay'],223000,2003,False,,0.41600000000000004,0.998,0.000839,0.28300000000000003,118.022
1JLOgbNOoFic2KKElAn9Fs,Flood - Live From The Eleventh Hour Tour,['Jars Of Clay'],239373,2003,False,,0.49,0.9590000000000001,0.0647,0.33,115.03200000000001
3VHmMXBZebhbk5WnjxDgFc,Worlds Apart - Live From The Eleventh Hour Tour,['Jars Of Clay'],652080,2003,False,,0.225,0.667,0.251,0.20199999999999999,92.51
6v8w2N0otV9C5RnzcklN1N,"Pini di Roma (Pines of Rome), P. 141","['Ottorino Respighi', 'Minnesota Orchestra', 'Eiji Oue']",348827,2015,False,,0.0891,0.146,0.16699999999999998,0.0786,86.54
6bEdz4kn0M10cCswL4OLoe,N.O.U. Cooking With Gas!,['Nation of Ulysses'],236867,2005,False,,0.5429999999999999,0.36200000000000004,0.6970000000000001,0.129,118.85
